E0421 05:38:24.145709       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:38:24.186315       1 nfd-worker.go:459] starting feature discovery...
I0421 05:38:24.186750       1 nfd-worker.go:471] feature discovery completed
I0421 05:38:24.271193       1 nfd-worker.go:624] updating NodeFeature object "jain-dgx-server"
I0421 05:39:24.764088       1 local.go:115] starting hooks...
E0421 05:39:24.766178       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:39:24.766261       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:39:24.766327       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:39:24.766686       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:39:24.766928       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:39:24.766987       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:39:24.767048       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:39:24.767107       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:39:24.767160       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:39:24.767215       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:39:24.767288       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:39:24.767342       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:39:24.767396       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:39:24.767456       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:39:24.813089       1 nfd-worker.go:459] starting feature discovery...
I0421 05:39:24.813480       1 nfd-worker.go:471] feature discovery completed
I0421 05:40:25.083435       1 local.go:115] starting hooks...
E0421 05:40:25.085965       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:40:25.086033       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:40:25.086088       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:40:25.086149       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:40:25.086191       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:40:25.086244       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:40:25.086305       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:40:25.086360       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:40:25.086417       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:40:25.086471       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:40:25.086542       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
