NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE     IP               NODE              NOMINATED NODE   READINESS GATES
s-jain-training-25               ml-pipeline-ui-artifact-fb8c99584-w8qp8                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.210   jain-dgx-server   <none>           <none>
s-jain-training-25               ml-pipeline-visualizationserver-6659778c46-k4wq6                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.142   jain-dgx-server   <none>           <none>
s-jain-training-26               ml-pipeline-ui-artifact-fb8c99584-8qwtd                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.248   jain-dgx-server   <none>           <none>
s-jain-training-26               ml-pipeline-visualizationserver-6659778c46-wpkgl                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.178   jain-dgx-server   <none>           <none>
s-jain-training-27               ml-pipeline-ui-artifact-fb8c99584-s4948                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.226   jain-dgx-server   <none>           <none>
s-jain-training-27               ml-pipeline-visualizationserver-6659778c46-cdj5m                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.212   jain-dgx-server   <none>           <none>
s-jain-training-28               ml-pipeline-ui-artifact-fb8c99584-sk9bt                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.155   jain-dgx-server   <none>           <none>
s-jain-training-28               ml-pipeline-visualizationserver-6659778c46-gd4sz                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.164   jain-dgx-server   <none>           <none>
s-jain-training-29               ml-pipeline-ui-artifact-fb8c99584-cqx5m                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.233   jain-dgx-server   <none>           <none>
s-jain-training-29               ml-pipeline-visualizationserver-6659778c46-wx4rx                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.131   jain-dgx-server   <none>           <none>
s-jain-training-3                ml-pipeline-ui-artifact-fb8c99584-wvvd7                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.208   jain-dgx-server   <none>           <none>
s-jain-training-3                ml-pipeline-visualizationserver-6659778c46-49bdc                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.254   jain-dgx-server   <none>           <none>
s-jain-training-3                text25-0                                                          2/2     Running                    0                88m     10.233.120.29    jain-dgx-server   <none>           <none>
s-jain-training-30               ml-pipeline-ui-artifact-fb8c99584-r2gtf                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.154   jain-dgx-server   <none>           <none>
s-jain-training-30               ml-pipeline-visualizationserver-6659778c46-psckn                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.160   jain-dgx-server   <none>           <none>
s-jain-training-4                ml-pipeline-ui-artifact-fb8c99584-hzm7n                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.184   jain-dgx-server   <none>           <none>
s-jain-training-4                ml-pipeline-visualizationserver-6659778c46-4v465                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.218   jain-dgx-server   <none>           <none>
s-jain-training-4                tritonnotebook-0                                                  2/2     Running                    0                101m    10.233.120.30    jain-dgx-server   <none>           <none>
s-jain-training-5                ml-pipeline-ui-artifact-fb8c99584-mlxhh                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.185   jain-dgx-server   <none>           <none>
